name,office,office_full,party,party_full,state,district,district_number,election_districts,election_years,cycles,candidate_status,incumbent_challenge,incumbent_challenge_full,load_date,first_file_date,last_file_date,last_f2_date,candidate_id,active_through,candidate_inactive,inactive_election_years
"BYRNE, BRADLEY ROBERTS",S,Senate,REP,REPUBLICAN PARTY,AL,00,0,{00},{2020},{2020},C,C,Challenger,2019-05-16 21:09:24,2019-02-21,2019-02-21,2019-02-21,S0AL00206,2020,f,
"BLANTON, DERRICK JAMES",S,Senate,DEM,DEMOCRATIC PARTY,CO,00,0,{00},{2020},"{2018,2020}",N,C,Challenger,2019-01-28 21:05:11,2017-04-13,2017-07-14,2017-07-14,S0CO00427,2020,f,
"LEE, MIKE",S,Senate,REP,REPUBLICAN PARTY,UT,00,0,"{00,00,00}","{2010,2016,2022}","{2010,2012,2014,2016,2018,2020}",C,I,Incumbent,2019-01-11 21:04:54,2010-01-25,2018-03-27,2018-03-27,S0UT00165,2022,f,
"BAER, DAN",S,Senate,DEM,DEMOCRATIC PARTY,CO,00,0,{00},{2020},{2020},C,C,Challenger,2019-07-22 21:11:27,2019-04-15,2019-04-15,2019-04-15,S0CO00500,2020,f,
"SASSE, BENJAMIN E",S,Senate,REP,REPUBLICAN PARTY,NE,00,0,"{00,00}","{2014,2020}","{2014,2016,2018,2020}",C,I,Incumbent,2019-03-27 21:06:35,2013-08-02,2014-12-04,2014-12-04,S4NE00090,2020,f,
"HEGAR, MARY JENNINGS MJ",S,Senate,DEM,DEMOCRATIC PARTY,TX,00,0,{00},{2020},{2020},C,C,Challenger,2019-08-23 22:05:29,2019-04-24,2019-08-23,2019-08-23,S0TX00233,2020,f,
"ROUNDS, MIKE",S,Senate,REP,REPUBLICAN PARTY,SD,00,0,"{00,00}","{2014,2020}","{2012,2014,2016,2018,2020}",C,I,Incumbent,2019-07-16 21:17:30,2012-10-10,2019-07-15,2019-07-15,S4SD00049,2020,f,
"ISAKSON, JOHN HARDY",S,Senate,REP,REPUBLICAN PARTY,GA,00,0,"{00,00,00,00,00}","{1996,2004,2010,2016,2022}","{1996,1998,2004,2006,2008,2010,2012,2014,2016,2018,2020}",C,I,Incumbent,2019-01-11 21:04:54,1995-10-16,2016-11-14,2016-11-14,S6GA00119,2022,t,{2022}
"BENNET, MICHAEL F",S,Senate,DEM,DEMOCRATIC PARTY,CO,00,0,"{00,00,00}","{2010,2016,2022}","{2010,2012,2014,2016,2018,2020}",P,I,Incumbent,2019-05-08 21:08:30,2009-01-15,2016-12-08,2016-12-08,S0CO00211,2022,f,
"JONES, DOUG",S,Senate,DEM,DEMOCRATIC PARTY,AL,00,0,"{00,00,00}","{2002,2018,2020}","{2002,2004,2018,2020}",C,C,Challenger,2019-04-09 21:06:31,2001-08-13,2017-11-30,2017-11-30,S0AL00156,2020,f,
"BURR, RICHARD M",S,Senate,REP,REPUBLICAN PARTY,NC,00,0,"{00,00,00,00}","{2004,2010,2016,2022}","{2004,2006,2008,2010,2012,2014,2016,2018,2020}",C,I,Incumbent,2019-01-11 21:04:54,2003-03-03,2017-02-07,2017-02-07,S4NC00089,2022,f,
"HOEVEN, JOHN",S,Senate,REP,REPUBLICAN PARTY,ND,00,0,"{00,00,00}","{2010,2016,2022}","{2010,2012,2014,2016,2018,2020}",C,I,Incumbent,2019-01-11 21:04:54,2010-01-13,2017-07-14,2017-07-14,S0ND00093,2022,f,
"HYDE-SMITH, CINDY",S,Senate,REP,REPUBLICAN PARTY,MS,00,0,"{00,00}","{2018,2020}","{2018,2020}",C,C,Challenger,2019-06-19 21:08:43,2018-03-30,2019-06-19,2019-06-19,S8MS00261,2020,f,
"BROWN, SHERROD",S,Senate,DEM,DEMOCRATIC PARTY,OH,00,0,"{00,00,00,00}","{2006,2012,2018,2024}","{2006,2008,2010,2012,2014,2016,2018,2020}",F,,,2019-02-25 21:15:37,2005-10-18,2018-11-15,2018-11-15,S6OH00163,2024,f,
"MAURO, EDDIE J",S,Senate,DEM,DEMOCRATIC PARTY,IA,00,0,{00},{2020},{2020},C,C,Challenger,2019-07-22 21:11:27,2019-05-15,2019-05-15,2019-05-15,S0IA00150,2020,f,
"SHAHEEN, JEANNE",S,Senate,DEM,DEMOCRATIC PARTY,NH,00,0,"{00,00,00,00}","{2002,2008,2014,2020}","{2002,2004,2006,2008,2010,2012,2014,2016,2018,2020}",C,I,Incumbent,2019-09-06 21:18:42,2001-08-22,2019-09-06,2019-09-06,S0NH00219,2020,f,
"GILLIBRAND, KIRSTEN",S,Senate,DEM,DEMOCRATIC PARTY,NY,00,0,"{00,00,00,00}","{2010,2012,2018,2024}","{2010,2012,2014,2016,2018,2020}",C,,,2019-09-06 21:18:42,2009-01-28,2019-09-06,2019-09-06,S0NY00410,2024,f,
"LINDSTROM, DAVID ALAN",S,Senate,REP,REPUBLICAN PARTY,KS,00,0,{00},{2020},{2020},C,O,Open seat,2019-07-23 21:24:02,2019-07-03,2019-07-03,2019-07-03,S0KS00240,2020,f,
"MASTO, CATHERINE CORTEZ",S,Senate,DEM,DEMOCRATIC PARTY,NV,00,0,"{00,00}","{2016,2022}","{2016,2018,2020}",C,I,Incumbent,2019-01-11 21:04:54,2015-04-08,2016-11-14,2016-11-14,S6NV00200,2022,f,
"CRIM, LARRY R",S,Senate,REP,REPUBLICAN PARTY,TN,00,0,"{00,00,00,00}","{2012,2014,2018,2020}","{2012,2014,2016,2018,2020}",N,O,Open seat,2019-08-26 21:08:56,2011-10-05,2019-08-22,2019-08-22,S2TN00223,2020,f,
"MARSHALL, ROGER W",S,Senate,REP,REPUBLICAN PARTY,KS,00,0,{00},{2020},{2020},N,O,Open seat,2019-09-11 21:16:35,2019-09-09,2019-09-09,2019-09-09,S0KS00315,2020,f,
"CASSIDY, WILLIAM M.",S,Senate,REP,REPUBLICAN PARTY,LA,00,0,"{00,00}","{2014,2020}","{2014,2016,2018,2020}",C,I,Incumbent,2019-07-17 21:30:12,2013-04-16,2019-07-17,2019-07-17,S4LA00107,2020,f,
"MORGAN, CLINTON WESLEY",S,Senate,REP,REPUBLICAN PARTY,KY,00,0,{00},{2020},{2020},C,C,Challenger,2019-07-22 21:11:27,2019-05-16,2019-05-16,2019-05-16,S0KY00297,2020,f,
"ROBERTS, PAT",S,Senate,REP,REPUBLICAN PARTY,KS,00,0,"{00,00,00,00,00}","{1996,2002,2008,2014,2020}","{1996,1998,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018,2020}",C,I,Incumbent,2019-03-27 21:06:35,1996-01-19,2014-11-19,2014-11-19,S6KS00080,2020,t,{2020}
"GARDNER, CORY",S,Senate,REP,REPUBLICAN PARTY,CO,00,0,"{00,00}","{2014,2020}","{2014,2016,2018,2020}",C,I,Incumbent,2019-03-27 21:06:35,2014-03-03,2015-01-27,2015-01-27,S4CO00395,2020,f,
"FULLER, TREVOR MICHAEL",S,Senate,DEM,DEMOCRATIC PARTY,NC,00,0,{00},{2020},{2020},C,C,Challenger,2019-05-14 00:59:02,2019-01-29,2019-01-29,2019-01-29,S0NC00285,2020,f,
"CARPER, THOMAS R.",S,Senate,DEM,DEMOCRATIC PARTY,DE,00,0,"{00,00,00,00,00}","{2000,2006,2012,2018,2024}","{2000,2002,2004,2006,2008,2010,2012,2014,2016,2018,2020}",F,,,2019-02-15 22:03:20,1999-09-29,2018-11-21,2018-11-21,S8DE00079,2024,f,
"FISCHER, DEBRA S.",S,Senate,REP,REPUBLICAN PARTY,NE,00,0,"{00,00,00}","{2012,2018,2024}","{2012,2014,2016,2018,2020}",F,I,Incumbent,2019-05-15 21:19:09,2011-07-19,2019-04-14,2019-04-14,S2NE00094,2024,f,
"LISS-RIORDAN, SHANNON MS.",S,Senate,DEM,DEMOCRATIC PARTY,MA,00,0,{00},{2020},{2020},C,C,Challenger,2019-07-15 21:09:43,2019-04-19,2019-04-19,2019-04-19,S0MA00166,2020,f,
"REED, JOHN F.",S,Senate,DEM,DEMOCRATIC PARTY,RI,00,0,"{00,00,00,00,00}","{1996,2002,2008,2014,2020}","{1996,1998,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018,2020}",C,I,Incumbent,2019-03-27 21:06:35,1995-09-29,2019-03-14,2019-03-14,S6RI00163,2020,f,
"BARRETT, ROBERT PAUL MR JR.",S,Senate,REP,REPUBLICAN PARTY,MN,00,0,{00},{2020},{2020},C,C,Challenger,2019-07-15 21:09:43,2019-04-03,2019-04-03,2019-04-03,S0MN00294,2020,f,
"POTTRATZ, KEITH ALLEN",S,Senate,DEM,DEMOCRATIC PARTY,CO,00,0,{00},{2020},"{2018,2020}",N,C,Challenger,2019-01-28 21:05:11,2018-11-28,2018-11-28,2018-11-28,S0CO00443,2020,f,
"MOORE, ROY STEWART",S,Senate,REP,REPUBLICAN PARTY,AL,00,0,{00},{2020},{2020},C,C,Challenger,2019-07-22 21:11:27,2019-06-27,2019-06-27,2019-06-27,S0AL00297,2020,f,
"BRAUN, MIKE",S,Senate,REP,REPUBLICAN PARTY,IN,00,0,"{00,00}","{2018,2024}","{2018,2020}",F,I,Incumbent,2019-06-14 21:08:39,2017-08-09,2019-06-14,2019-06-14,S8IN00171,2024,f,
"STOVALL, DWAYNE",S,Senate,REP,REPUBLICAN PARTY,TX,00,0,"{00,00}","{2014,2020}","{2014,2016,2018,2020}",C,C,Challenger,2019-09-11 21:16:35,2013-09-27,2019-09-11,2019-09-11,S4TX00433,2020,f,
