name,cycles,treasurer_name,committee_type,committee_type_full,filing_frequency,designation,designation_full,organization_type,organization_type_full,affiliated_committee_name,party,party_full,state,committee_id,candidate_ids,first_file_date,last_file_date,last_f1_date
NORTON FOR U S SENATE COMMITTEE,"{1996,1998,2000,2002}",GALE NORTON,S,Senate,T,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,CO,C00301556,{S6CO00119},1995-03-06,2001-03-02,2000-07-25
FRANCES WATERMAN FOR US SENATE,{1980},DEBORAH A WATERMAN,S,Senate,T,P,Principal campaign committee,,,,DEM,DEMOCRATIC PARTY,OH,C00116608,{S0OH00018},1979-12-03,1980-06-19,1980-04-21
COPETEXAS,{2014},KENNETH CLIFFORD COPE JR,S,Senate,T,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,TX,C00553784,{S4TX00532},2013-12-16,2014-05-22,2013-12-16
ROTHFUSS FOR SENATE,"{2008,2010}",H BRANT ROTHFUSS,S,Senate,T,P,Principal campaign committee,,,,DEM,DEMOCRATIC PARTY,WY,C00449504,{S8WY00163},2008-04-22,2009-03-10,2008-04-22
WETTERLING FOR SENATE,{2006},AL W PATTON,S,Senate,T,P,Principal campaign committee,,,,DEM,DEMOCRATIC PARTY,MN,C00410217,{S6MN00291},2005-03-14,2006-05-18,2005-03-14
PEOPLE FOR RICK WEILAND,"{2014,2016}",BEVERLY CASEY,S,Senate,T,P,Principal campaign committee,,,,DEM,DEMOCRATIC PARTY,SD,C00545160,{S4SD00056},2013-05-22,2016-03-22,2013-05-22
KLABZUBA US SENATE CAMPAIGN,"{1980,1982}",RICHARD W KLABZUBA,S,Senate,A,P,Principal campaign committee,,,,DEM,DEMOCRATIC PARTY,OK,C00133207,{S0OK00172},1980-08-11,1980-08-11,1980-08-11
MCCONNELL SENATE COMMITTEE,"{1982,1984,1986}",LARRY J STEINBERG,S,Senate,T,A,Authorized by a candidate,,,,REP,REPUBLICAN PARTY,KY,C00155051,{S2KY00012},1982-04-30,1986-05-22,1982-04-30
MELVIN PURVIS FOR U S SENATE,"{1984,1986}",KERRYL LYNNE HENDERSON,S,Senate,T,P,Principal campaign committee,,,,DEM,DEMOCRATIC PARTY,SC,C00189506,{S4SC00067},1984-08-28,1985-07-12,1984-10-19
ODOM FOR U S SENATE,"{1986,1988,1990,1992,1994,1996}",M ROBERT FARRIS,S,Senate,A,P,Principal campaign committee,,,,DEM,DEMOCRATIC PARTY,NC,C00201145,{S6NC00019},1986-01-10,1996-05-15,1986-01-10
COMMITTEE TO ELECT TROY D BROWN SR U S SENATE,"{2000,2002}",CLARENCE E SMITH,S,Senate,A,P,Principal campaign committee,,,,DEM,DEMOCRATIC PARTY,MS,C00357590,{S0MS00037},2000-05-09,2002-06-18,2000-05-09
MIKE BOND FOR MONTANA CAMPAIGN COMM,{1982},BETH MILLER,S,Senate,T,P,Principal campaign committee,,,,DEM,DEMOCRATIC PARTY,MT,C00155275,{S2MT00021},1982-05-03,1982-09-29,1982-05-03
BILL NELSON FOR US SENATE,"{2000,2002,2004,2006,2008,2010,2012,2014,2016,2018,2020}","GAGNON, PEGGY",S,Senate,Q,P,Principal campaign committee,,,MOVING AMERICA FORWARD,DEM,DEMOCRATIC PARTY,FL,C00344051,{S8FL00166},1999-03-22,2019-07-14,2018-10-18
FRIENDS OF GREG PARKE,"{2004,2006,2008}",WAYNE A CARLSON,S,Senate,T,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,VT,C00390195,"{H2VT00086,S6VT00111}",2003-09-08,2008-12-30,2005-10-28
HENRY FOR SENATE,{2018},"HENRY, WENDI",S,Senate,T,P,Principal campaign committee,,,NONE,REP,REPUBLICAN PARTY,AL,C00638809,{S8AL00324},2017-04-25,2017-08-07,2017-04-25
PETE DUNN FOR U S SENATE COMMITTEE,"{1982,1984,1986,1988,1990,1992,1994,1996}",DAVID R JOHNS,S,Senate,A,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,AZ,C00146530,{S2AZ00026},1981-11-09,1996-05-15,1982-06-17
SAM NUNN CAMPAIGN COMMITTEE,"{1976,1978,1980,1982,1984,1986,1988,1990,1992,1994,1996,1998,2000}",GORDON D GIFFIN,S,Senate,A,P,Principal campaign committee,,,,DEM,DEMOCRATIC PARTY,GA,C00046235,{S2GA00019},1976-07-10,2000-01-28,1997-09-22
PAT FLYNN FOR U S SENATE,"{2010,2012}",NEIL W KUHLMAN,S,Senate,T,P,Principal campaign committee,,,NONE,REP,REPUBLICAN PARTY,NE,C00470658,{S8NE00109},2009-11-16,2012-08-13,2009-11-16
MIMS4SENATE,"{2010,2012,2014,2016,2018}",TIFFANI E MIMS,S,Senate,A,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,TX,C00466193,{S0TX00191},2009-08-24,2018-04-26,2009-08-24
BAIER SENATE CAMPAIGN COMMITTEE,{2004},MICHAEL G LAMBROS,S,Senate,T,P,Principal campaign committee,,,,DEM,DEMOCRATIC PARTY,GA,C00400838,{S4GA11152},2004-05-10,2004-08-10,2004-06-09
TOWNER FOR U S SENATE,"{2004,2006}",MARK E TOWNER,S,Senate,A,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,UT,C00394981,{S4UT00142},2004-01-20,2006-02-01,2004-01-20
A LOT OF PEOPLE SUPPORTING ED BERNSTEIN,"{2000,2002,2004}",MICHAEL W KERN,S,Senate,T,P,Principal campaign committee,,,,DEM,DEMOCRATIC PARTY,NV,C00349787,{S8NV00123},1999-10-18,2004-06-22,2000-07-11
WHITMAN FOR U S SENATE,"{1990,1992,1994}",ANN W WEST,S,Senate,A,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,NJ,C00243287,{S0NJ00019},1990-04-02,1993-01-29,1990-11-29
ANTHONY FOR SENATE,"{2004,2006,2008}",WILLIAM C LIEDTKE III,S,Senate,T,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,OK,C00394601,{S4OK00158},2004-01-13,2008-04-10,2004-01-13
DEREK FOR U.S. SENATE,{2020},"LEVASSEUR, DEREK A",S,Senate,Q,P,Principal campaign committee,,,NONE,REP,REPUBLICAN PARTY,ME,C00706739,{S0ME00095},2019-05-16,2019-07-15,2019-05-16
RON FRANKS FOR U S SENATE,"{1994,1996,1998,2000}",DANIEL G FALK,S,Senate,A,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,MD,C00281949,{S4MD00046},1993-06-08,2000-01-24,1993-12-17
CHAD MCGOWAN FOR SENATE,{2010},ROBERT V PHILLIPS,S,Senate,T,P,Principal campaign committee,,,,DEM,DEMOCRATIC PARTY,SC,C00468637,{S0SC00164},2009-10-08,2010-05-04,2010-01-14
COMMITTEE TO ELECT W ANN WORTHY,{2010},MAGGIE GINGLES,S,Senate,T,P,Principal campaign committee,,,,DEM,DEMOCRATIC PARTY,NC,C00471086,{S0NC00194},2009-11-23,2010-07-27,2010-04-07
1980 VICTORY COMMITTEE,"{1980,1982}",RODNEY SMITH,S,Senate,T,J,Joint fundraising committee,,,,REP,REPUBLICAN PARTY,DC,C00138735,"{S0AK00063,S0AL00016,S0FL00015,S0FL00155,S0GA00021,S0IA00028,S0NC00020,S0NH00037,S0SD00054,S0WA00019,S6PA00100}",1980-11-26,1981-12-02,1980-11-26
WEBB FOR SENATE COMMITTEE,{1988},WALTER M BAKER,S,Senate,T,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,MD,C00220228,{S8MD00021},1987-12-23,1988-06-29,1987-12-23
MONTANA DEMOCRATS FOR MELCHER,"{1982,1984}",EVELYN NIKOLAISEN,S,Senate,T,A,Authorized by a candidate,,,,DEM,DEMOCRATIC PARTY,MT,C00162271,{S6MT00071},1982-09-29,1983-10-12,1982-09-29
CRAWFORD FOR U S SENATOR COMMITTEE,"{1980,1982}",VICTOR CRAWFORD,S,Senate,T,P,Principal campaign committee,,,,DEM,DEMOCRATIC PARTY,MD,C00116772,{S0MD00044},1979-12-07,1983-10-19,1980-04-01
DAVID DICKERSON FOR US SENATE,"{2006,2008}",PHILIP L LAZZATI,S,Senate,A,P,Principal campaign committee,,,N/A,DEM,DEMOCRATIC PARTY,MD,C00424176,{S6MD03268},2006-05-09,2007-10-19,2006-05-09
COMMITTEE TO ELECT MICHAEL STOLLERY TO THE US SENATE,"{2010,2012}",MICHAEL STOLLERY,S,Senate,T,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,CA,C00491852,{S2CA00617},2010-12-17,2012-01-23,2010-12-17
OLIVER NORTH FOR U S SENATE COMMITTEE INC,"{1994,1996,1998,2000}",ANN C NORTH,S,Senate,T,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,VA,C00283887,{S4VA00056},1993-09-17,1999-08-27,1997-01-29
GINGREY FOR US SENATE,{2002},BILLIE GINGREY,S,Senate,T,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,GA,C00367771,{S2GA00100},2001-07-17,2001-12-06,2001-11-08
MORRISEY FOR SENATE INC,"{2018,2020}","CRATE, BRADLEY T MR.",S,Senate,Q,P,Principal campaign committee,,,WINSOME LEADERS I,REP,REPUBLICAN PARTY,WV,C00651075,{S8WV00143},2017-07-17,2019-07-15,2018-11-15
BRIAN D OERTHER FOR US SENATE,"{2010,2012,2014,2016,2018}",BRIAN D OERTHER,S,Senate,A,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,KY,C00462382,{S0KY00149},2009-05-27,2018-04-26,2009-08-05
GAVIN CLARKSON FOR SENATE,{2020},"HASTIE, CHRISSIE",S,Senate,Q,P,Principal campaign committee,,,NONE,REP,REPUBLICAN PARTY,NM,C00702985,{S0NM00066},2019-04-16,2019-07-15,2019-04-16
KEFALAS FOR MARYLAND INC,{2016},SUSAN CAROL BELL,S,Senate,T,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,MD,C00579235,{S6MD03466},2015-06-09,2016-06-23,2015-06-09
FENWICK FOR SENATE COMMITTEE,"{1982,1984,1986,1988,1990,1992,1994,1996}",JOHN SZCZEPANSKI,S,Senate,T,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,NJ,C00148817,{S2NJ00064},1982-01-14,1986-03-28,1982-04-14
KLOS FOR U S SENATE,"{1994,1996,1998,2000}",STANLEY L KLOS,S,Senate,A,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,PA,C00288837,{S4WV00134},1994-02-08,2000-06-05,2000-06-02
CARRARO FOR U S SENATE,{1988},MARY P MCKINNEY,S,Senate,T,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,NM,C00226142,{S8NM00127},1988-04-18,1989-02-24,1988-04-18
ALASKANS FOR BEGICH 2014,"{2008,2010,2012,2014,2016}",CONNIE SANDERS,S,Senate,T,P,Principal campaign committee,,,,DEM,DEMOCRATIC PARTY,AK,C00458059,{S8AK00090},2008-12-19,2016-03-22,2015-10-15
SARAH FOR SENATE,{2020},"IACO, JOSEPH",S,Senate,T,P,Principal campaign committee,,,NONE,REP,REPUBLICAN PARTY,SC,C00697813,{},2019-02-27,2019-08-04,2019-02-27
FRIENDS OF LARRY PRESSLER,"{1978,1980,1982,1984,1986,1988,1990,1992,1994,1996,1998,2000}",DANIEL A NELSON,S,Senate,T,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,DC,C00082214,{S8SD00024},1977-11-04,2000-06-26,1999-09-08
VIC RAWL FOR US SENATE,"{2010,2012}",CHARLES R THOMPSON JR,S,Senate,T,P,Principal campaign committee,,,,DEM,DEMOCRATIC PARTY,SC,C00478016,{S0SC00180},2010-03-08,2011-02-08,2010-04-19
SCHIFF FOR SENATE,"{2010,2012,2014}",ANDREW SCHIFF,S,Senate,T,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,CT,C00468199,{S0CT00169},2009-10-08,2013-07-15,2012-03-19
BROYHILL FOR SENATE,"{1986,1988,1990}",NANCY D BATEMAN,S,Senate,T,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,NC,C00198242,{S6NC00043},1985-10-07,1990-08-15,1986-10-24
CHAVEZ FOR U S SENATE COMMITTEE,{1984},KENNETH R MCDYER,S,Senate,T,P,Principal campaign committee,,,,DEM,DEMOCRATIC PARTY,NM,C00165910,{S4NM00019},1983-03-08,1985-08-14,1984-02-21
COMMITTEE TO ELECT ROBIN L TITUS MD TO THE US SENATE,{2010},MARILYN S HILL,S,Senate,T,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,NV,C00461608,{S0NV00153},2009-04-29,2010-08-03,2009-06-08
BOBBY LAWRENCE FOR US SENATE,{2018},"LAWRENCE, ROBERT MR",S,Senate,T,P,Principal campaign committee,,,NONE,REP,REPUBLICAN PARTY,PA,C00639724,{S8PA00288},2017-05-03,2018-07-27,2017-05-03
KIRKPATRICK FOR SENATE,"{2016,2018}",DANIEL A FLORES,S,Senate,T,P,Principal campaign committee,,,,DEM,DEMOCRATIC PARTY,AZ,C00578484,{S6AZ00225},2015-05-27,2017-09-22,2016-10-12
COMMITTEE TO ELECT JOHN P. LYNCH SENATOR,"{1978,1980}",JOHN P. LYNCH,S,Senate,T,P,Principal campaign committee,,,,DEM,DEMOCRATIC PARTY,MA,C00093856,{S8MA00037},1978-04-24,1979-05-22,1978-05-26
ELECTION FUND OF LISA MCCORMICK,"{2016,2018,2020}","LOOP, JANICE",S,Senate,Q,P,Principal campaign committee,,,NONE,DEM,DEMOCRATIC PARTY,NJ,C00611475,{S0NJ00175},2016-03-10,2018-12-12,2018-12-12
MANCHIN FOR WEST VIRGINIA,"{2010,2012,2014,2016,2018,2020}","ROSSI, JACK",S,Senate,Q,P,Principal campaign committee,,,DEMOCRATS FOR OPPORTUNITY FUND,DEM,DEMOCRATIC PARTY,WV,C00486563,{S0WV00090},2010-07-22,2019-07-13,2019-03-01
ASHCROFT FOR SENATE,"{1994,1996,1998}",KAREN B. GALLAGHER,S,Senate,T,A,Authorized by a candidate,,,,REP,REPUBLICAN PARTY,MO,C00281329,{S4MO00037},1993-04-26,1998-04-06,1998-04-06
RICK LEMASTERS FOR US SENATE,{2014},VIRGIL J MELLOTT,S,Senate,T,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,WV,C00544593,{S4WV00175},2013-05-07,2014-07-25,2013-05-07
WEAVER FOR SENATE,{1986},SIDNEY LEIKEN,S,Senate,T,P,Principal campaign committee,,,,DEM,DEMOCRATIC PARTY,OR,C00203224,{S6OR00045},1986-02-25,1986-10-10,1986-02-25
FRIENDS OF MAX BAUCUS,"{1998,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018,2020}",SHANE COLTON,S,Senate,Q,P,Principal campaign committee,,,,DEM,DEMOCRATIC PARTY,MT,C00328211,{S8MT00010},1997-06-26,2019-07-15,2018-02-13
JOHNSON SENATE COMMITTEE,{2010},WILLIAM JOHNSON,S,Senate,T,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,KY,C00462077,{S0KY00164},2009-05-15,2010-07-23,2010-07-02
JEFF BEATTY US SENATE 2008,"{2008,2010}",SAMUEL B BEATTY,S,Senate,T,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,MA,C00440701,{S8MA00219},2007-10-30,2010-01-20,2008-03-04
LAROCCO FOR SENATE,"{2008,2010}",SUSAN EASTLAKE,S,Senate,T,P,Principal campaign committee,,,,DEM,DEMOCRATIC PARTY,ID,C00433888,{S8ID00076},2007-04-16,2010-01-05,2009-03-04
STEPP COMMITTEE,{2008},KENNETH S STEPP,S,Senate,T,P,Principal campaign committee,,,,DEM,DEMOCRATIC PARTY,KY,C00444398,{S8KY00225},2008-01-29,2008-10-09,2008-01-29
MELCHER FOR SENATE COMMITTEE,"{1976,1978,1980,1982,1984,1986,1988,1990,1992}",JOHN P GERHARZ,S,Senate,T,P,Principal campaign committee,,,,DEM,DEMOCRATIC PARTY,MT,C00044396,{S6MT00071},1976-04-13,1992-04-03,1988-05-23
CHELE FARLEY FOR SENATE INC,"{2018,2020}","LISKER, LISA",S,Senate,T,P,Principal campaign committee,,,NONE,REP,REPUBLICAN PARTY,NY,C00669093,{S8NY00215},2018-02-01,2019-08-01,2018-02-01
FRIENDS OF LANDRIEU AND CARNAHAN,{2002},ANDREW GROSSMAN,S,Senate,T,J,Joint fundraising committee,,,,DEM,DEMOCRATIC PARTY,VA,C00368019,"{S0MO00159,S6LA00227}",2001-07-27,2002-10-25,2001-07-27
GOWITHGRIFFIN.ORG,"{2016,2018,2020}",JOHN A GRIFFIN,S,Senate,T,P,Principal campaign committee,,,,DEM,DEMOCRATIC PARTY,NC,C00591024,{S6NC00274},2015-10-30,2019-04-12,2016-04-14
CAMPAIGN FOR DAVE FELICIANO,"{2014,2016,2018}",ANSELMO FALICIANO,S,Senate,A,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,SC,C00557827,{S4SC00331},2014-02-24,2017-07-26,2014-02-24
CARTER FOR U S SENATE,{1984},JOHN HARRISON KILLIAN,S,Senate,T,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,AL,C00182097,{S4AL00059},1984-04-12,1985-02-01,1984-04-12
DOTTIE LAMM '98 INC,"{1998,2000}",CHRIS ROMER,S,Senate,T,P,Principal campaign committee,,,,DEM,DEMOCRATIC PARTY,CO,C00330662,{S8CO00107},1997-10-23,2000-03-13,1998-06-01
HEATHER WILSON FOR SENATE,"{1998,2000,2002,2004,2006,2008,2010}",DAVID A. ARCHULETA,S,Senate,T,P,Principal campaign committee,,,ROMP 2007,REP,REPUBLICAN PARTY,NM,C00334060,"{H8NM01174,S8NM00168}",1998-02-20,2009-02-24,2007-10-18
BILL PRESS FOR US SENATE,"{1988,1990,1992,1994,1996}",DAVE ROSENBERG,S,Senate,T,P,Principal campaign committee,,,,DEM,DEMOCRATIC PARTY,CA,C00219311,{S8CA00051},1987-11-12,1995-12-22,1990-04-19
SEILER FOR U.S. SENATE,"{1978,1980}",WILLIAM T. TURNER,S,Senate,T,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,TN,C00098335,{S8TN00071},1978-06-26,1979-08-02,1978-08-21
DICKEY FOR SENATE EXPLORATORY COMMITTEE,"{1996,1998}",JANET MCGOUGH,S,Senate,A,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,AR,C00319384,{S6AR00116},1996-06-06,1997-09-11,1996-06-06
CALDERO FOR SENATE,"{2008,2010}",PETER E HAIL,S,Senate,T,P,Principal campaign committee,,,,DEM,DEMOCRATIC PARTY,AK,C00434886,{S8AK00074},2007-05-02,2011-03-23,2007-05-02
ROSE HUSS FOR U.S. SENATOR COMMITTEE,"{1980,1982}",HARRY SCROGGS,S,Senate,A,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,OR,C00119800,{S0OR00071},1980-01-28,1980-01-28,1980-01-28
TOM FOLEY FOR U S SENATE COMMITTEE,"{1994,1996,1998}",DR ELIZABETH ARENDT,S,Senate,T,P,Principal campaign committee,,,,DEM,DEMOCRATIC PARTY,MN,C00289082,{S4MN00239},1994-02-14,1997-04-25,1994-02-14
DEMPSEY FOR US SENATE COMMITTEE,"{2010,2012}",MICHAEL DEMPSEY,S,Senate,T,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,MD,C00480764,{S0MD00291},2010-04-12,2011-11-04,2010-04-12
FRIENDS OF TONY EARL,"{1988,1990}",ALLAN SOLOMONSON,S,Senate,T,P,Principal campaign committee,,,,DEM,DEMOCRATIC PARTY,WI,C00220921,{S8WI00034},1988-01-11,1990-08-15,1988-07-15
COMMITTEE TO ELECT GENE GAY TO THE U S SENATE,"{1998,2000}",EUGENE GAY,S,Senate,A,P,Principal campaign committee,,,,DEM,DEMOCRATIC PARTY,NC,C00336370,{S8NC00189},1998-04-27,2000-06-29,1998-04-27
LIZ BAKER FOR US SENATE,"{2004,2006}",NILE FREDERICKSON,S,Senate,A,P,Principal campaign committee,,,,DEM,DEMOCRATIC PARTY,CO,C00396747,{S4CO00148},2004-02-18,2005-07-26,2004-02-18
MONTANANS FOR REHBERG,"{1996,1998}",LORNA KUNEY,S,Senate,T,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,MT,C00303982,{S6MT00097},1995-07-05,1997-10-10,1996-10-22
BARTOS FOR SENATE INC,{2018},DAVID SATTERFIELD,S,Senate,T,P,Principal campaign committee,,,NONE,REP,REPUBLICAN PARTY,PA,C00638452,{S8PA00262},2017-04-24,2018-02-07,2017-04-24
TALENT FOR SENATE COMMITTEE,"{2002,2004,2006,2008,2010}",SHIRLEY J SIMMONS,S,Senate,T,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,MO,C00368183,{S2MO00353},2001-08-02,2009-10-30,2006-08-01
LACY WRIGHT FOR UNITED STATES SENATE,{1984},LACY WRIGHT,S,Senate,T,P,Principal campaign committee,,,,DEM,DEMOCRATIC PARTY,WV,C00185199,{S4WV00068},1984-05-24,1984-11-30,1984-05-24
TAYLOR FOR US SENATE,"{2014,2016}",VICTOR RUSSELL PETTY III,S,Senate,T,P,Principal campaign committee,,,,DEM,DEMOCRATIC PARTY,KS,C00551895,{S4KS00135},2013-11-06,2016-07-18,2013-11-06
PENNSYLVANIANS FOR DON BAILEY,"{1986,1988}",WILLIAM J WASHBURN,S,Senate,T,P,Principal campaign committee,,,,DEM,DEMOCRATIC PARTY,PA,C00201814,{S6PA00050},1986-01-23,1988-08-19,1986-07-12
HEATHER GRANT FOR US SENATE,"{2014,2016}",JUANITA C ANDERSON,S,Senate,A,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,NC,C00547943,{S4NC00170},2013-08-05,2015-11-10,2013-08-05
JIM SHANNON FOR SENATE COMMITTEE,"{1984,1986,1988,1990,1992,1994,1996}",JAMES A MARTIN JR,S,Senate,A,P,Principal campaign committee,,,,DEM,DEMOCRATIC PARTY,MA,C00176636,{S4MA00093},1984-02-01,1996-05-15,1984-02-01
NICHOLSON FOR SENATE,"{2018,2020}","KILGORE, PAUL",S,Senate,Q,P,Principal campaign committee,,,NONE,REP,REPUBLICAN PARTY,WI,C00652131,{S8WI00216},2017-07-26,2019-08-16,2018-12-13
SUE LOWDEN FOR U S SENATE,"{2010,2012,2014,2016,2018}",CHRIS MARSTON,S,Senate,T,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,NV,C00467761,{S0NV00252},2009-10-01,2018-08-06,2014-03-24
J E JUMONVILLE JR U S SENATE CAMPAIGN COMMITTEE,"{1986,1988,1990,1992,1994,1996}",OLEN JOHNNY WALKER JR,S,Senate,A,P,Principal campaign committee,,,,DEM,DEMOCRATIC PARTY,LA,C00209338,{S6LA00060},1986-07-24,1996-05-15,1988-09-08
COMMITTEE TO ELECT MICHAEL COOPER UNITED STATES SENATOR OF TEXAS,{2020},"ANDERSON, OLLIE",S,Senate,Q,P,Principal campaign committee,,,NONE,DEM,DEMOCRATIC PARTY,TX,C00698183,{},2019-03-01,2019-07-15,2019-03-01
DONNER FOR SENATE,{2012},NANCY H WATKINS,S,Senate,T,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,VA,C00495085,{S2VA00159},2011-04-06,2012-06-07,2011-04-06
FRIENDS OF MARK WARNER,"{2008,2010,2012,2014,2016,2018,2020}","BUCHANAN, KATHERINE M",S,Senate,Q,P,Principal campaign committee,,,WARNER ACTION FUND,DEM,DEMOCRATIC PARTY,VA,C00438713,{S6VA00093},2007-09-13,2019-08-08,2019-08-08
CROW FOR US SENATE,"{2014,2016}",JIMMIE KREIZENBECK,S,Senate,T,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,OK,C00561902,{S4OK00281},2014-04-14,2015-07-14,2014-07-14
BENNETT FOR SENATE COMMITTEE,"{2012,2014,2016,2018}",JOSHUA A. TARDY,S,Senate,A,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,ME,C00516468,{S2ME00125},2012-03-16,2017-07-12,2012-05-29
MAHER FOR U S SENATE COMMITTEE - '84,"{1984,1986}",KAREN NATIONS,S,Senate,T,P,Principal campaign committee,,,,DEM,DEMOCRATIC PARTY,KS,C00180125,{S8KS00144},1984-03-26,1985-04-26,1984-03-26
MARYLANDERS FOR SULLIVAN,"{1986,1988}",DAVID L SULLIVAN,S,Senate,T,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,MD,C00202234,{S6MD00157},1986-02-03,1988-10-14,1986-02-20
PAUL D COVERDELL GOOD GOVERNMENT FUND,"{1992,1994}",FRANK B STRICKLAND,S,Senate,T,A,Authorized by a candidate,,,,REP,REPUBLICAN PARTY,GA,C00259630,{S2GA00035},1992-01-31,1995-05-19,1992-01-31
PATTERSON FOR SENATE COMMITTEE,"{1978,1980}","JOHN V. DAVIDSON, TREASURER",S,Senate,T,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,MI,C00087932,{S8MI00141},1978-02-22,1979-02-09,1978-10-05
FRIENDS OF LINDA RHODES,{1998},DAVID W SWEET,S,Senate,T,P,Principal campaign committee,,,,DEM,DEMOCRATIC PARTY,PA,C00328773,{S8PA00080},1997-07-22,1998-05-26,1997-07-22
JEAN HAY FOR U S SENATE,"{1996,1998}",BRUCE R LITTLEFIELD,S,Senate,T,P,Principal campaign committee,,,,DEM,DEMOCRATIC PARTY,ME,C00313262,{S6ME00126},1996-02-16,1998-12-28,1996-02-16
COMMITTEE TO ELECT PHIL KRONE US SENATOR,"{2010,2012,2014}",PHIL KRONE,S,Senate,A,P,Principal campaign committee,,,,DEM,DEMOCRATIC PARTY,NY,C00481457,{S0NY00543},2010-04-19,2014-03-19,2010-04-19
MEHNERT FOR US SENATE,{2006},GLENN M MEHNERT,S,Senate,T,P,Principal campaign committee,,,,DEM,DEMOCRATIC PARTY,ME,C00416750,{S6ME00233},2005-11-10,2006-08-15,2005-11-10
HAL DAUB FOR SENATE COMMITTEE,{1988},VERNON E DOLLECK,S,Senate,T,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,NE,C00215764,{S8NE00042},1987-06-19,1989-08-25,1987-06-19
"ELIZABETH FOR MA, INC","{2012,2014,2016,2018,2020}","EGERMAN, PAUL",S,Senate,Q,P,Principal campaign committee,,,NONE,DEM,DEMOCRATIC PARTY,MA,C00500843,{S2MA00170},2011-08-18,2019-07-15,2019-04-24
GARY K CARLSON FOR MINNESOTA,"{1996,1998}",JOAN E CARLSON,S,Senate,A,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,MN,C00306522,{S6MN00168},1995-09-25,1997-09-11,1995-09-25
STEVE DAINES FOR MONTANA,"{2010,2012,2014,2016,2018,2020}","KUNEY, LORNA",S,Senate,Q,P,Principal campaign committee,,,DAINES BIG SKY COMMITTEE,REP,REPUBLICAN PARTY,MT,C00491357,"{H2MT01060,S2MT00096}",2010-11-12,2019-08-09,2019-08-09
BORGLUM FOR US SENATE,{2020},"BORGLUM, SUSAN J.",S,Senate,Q,P,Principal campaign committee,,,NONE,REP,REPUBLICAN PARTY,SD,C00711028,{},2019-07-03,2019-07-03,2019-07-03
LATHAM FOR SENATE,"{2010,2012,2014,2016,2018}",BRENT HUSTED,S,Senate,A,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,TX,C00466888,{S0TX00209},2009-09-15,2018-04-26,2009-09-15
JENSEN FOR THE SENATE,{1988},PAUL JENSEN,S,Senate,T,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,MI,C00216051,{S0MI00023},1987-07-02,1988-01-25,1987-07-02
FRIENDS OF DUANE SAND,{2004},KAREN RISKEY,S,Senate,T,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,ND,C00392712,{S0ND00069},2003-11-17,2004-08-10,2004-01-12
ROB MOSBACHER FOR SENATE COMMITTEE,{1984},SUE B SPEAR,S,Senate,T,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,TX,C00170332,{S4TX00045},1983-09-21,1985-03-15,1984-10-05
