name,cycles,treasurer_name,committee_type,committee_type_full,filing_frequency,designation,designation_full,organization_type,organization_type_full,affiliated_committee_name,party,party_full,state,committee_id,candidate_ids,first_file_date,last_file_date,last_f1_date
BRIAN D GOLDBERG FOR US SENATE,"{2014,2016,2018,2020}",BRIAN GOLDBERG,S,Senate,Q,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,NJ,C00558874,{S4NJ00292},2014-03-04,2019-08-01,2019-07-24
PAGLIUCA FOR SENATE,{2010},SANJAY SAIMI,S,Senate,T,P,Principal campaign committee,,,,DEM,DEMOCRATIC PARTY,MA,C00467670,{S0MA00125},2009-09-24,2010-09-10,2009-09-24
STONE FOR SENATE 2020,"{2018,2020}","STONE, WILLIAM",S,Senate,Q,P,Principal campaign committee,,,NONE,DEM,DEMOCRATIC PARTY,SC,C00689042,{S0SC00263},2018-10-05,2018-10-05,2018-10-05
"DAY FOR SENATE, INC","{1996,1998,2000,2002,2004,2006}",CHARLES A SANDERS,S,Senate,A,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,GA,C00307884,{S6GA00135},1995-11-02,2004-12-09,1996-04-22
HATCH ELECTION COMMITTEE INC,"{1978,1980,1982,1984,1986,1988,1990,1992,1994,1996,1998,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018,2020}","ANDERSON, A SCOTT",S,Senate,Q,P,Principal campaign committee,,,HATCH VICTORY COMMITTEE,REP,REPUBLICAN PARTY,UT,C00104752,{S6UT00063},1978-07-14,2019-07-15,2017-04-25
CITIZENS TO ELECT JOHN HERMAN SENATOR,"{1978,1980,1982}","JOSEPH A. KELLER, TREASURER",S,Senate,T,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,MN,C00083600,{S8MN00040},1977-12-15,1981-07-13,1978-01-16
MCGINNIS FOR US SENATE,"{2002,2004}",WILL L MCGINNIS III,S,Senate,A,P,Principal campaign committee,,,,DEM,DEMOCRATIC PARTY,KY,C00368050,{S2KY00079},2001-08-01,2003-07-31,2001-08-01
HULL FOR SENATE INC (N F P),"{2002,2004,2006,2008,2010,2012}",EDWARD B CHEZ,S,Senate,T,P,Principal campaign committee,,,,DEM,DEMOCRATIC PARTY,IL,C00380279,{S4IL00172},2002-06-27,2011-09-20,2007-01-24
CITIZENS TO ELECT JERONE GARLAND UNITED STATES SENATOR,"{2018,2020}",JAMES JERONE GARLAND,S,Senate,Q,P,Principal campaign committee,,,,DEM,DEMOCRATIC PARTY,MS,C00675249,{S8MS00279},2018-04-02,2018-05-14,2018-04-02
WALLACE FOR ILLINOIS,{2010},JENNIFER S WALLACE,S,Senate,T,P,Principal campaign committee,,,,REP,REPUBLICAN PARTY,IL,C00464388,{S0IL00246},2009-07-21,2010-07-13,2009-07-21
